"Year","#j,||q-||/||q-|| (l=3)","#j,||q-||/||q-|| (l=4)","#j,||q-||/||q-|| (l=5)","#||q-||"
"1990","1.000, 0.881","0.000, 1.000","0.000, 1.000",0.000966729758971658
"1991","0.000, 1.000","0.000, 1.000","0.000, 1.000",0.000617084505540579
"1992","0.000, 1.000","0.000, 1.000","0.000, 1.000",0.000734746365229114
"1993","0.000, 1.000","0.000, 1.000","0.000, 1.000",0.000672145119740261
"1994","2.000, 0.964","2.000, 0.964","2.000, 0.964",0.00123629323617082
"1995","1.000, 0.974","0.000, 1.000","0.000, 1.000",0.000753281876370021
"1996","1.000, 0.901","0.000, 1.000","0.000, 1.000",0.00109916483022594
"1997","2.000, 0.985","0.000, 1.000","0.000, 1.000",0.000660167830522866
"1998","9.000, 0.657","8.000, 0.667","4.000, 0.856",0.0011043393186531
"1999","0.000, 1.000","0.000, 1.000","0.000, 1.000",0.000919155440646374
"2000","0.000, 1.000","0.000, 1.000","0.000, 1.000",0.000693525635647973
"2001","2.000, 0.939","1.000, 0.948","1.000, 0.948",0.00117234122839773
"2002","2.000, 0.981","0.000, 1.000","0.000, 1.000",0.0011848151730739
"2003","0.000, 1.000","0.000, 1.000","0.000, 1.000",0.00129639926219953
"2004","0.000, 1.000","0.000, 1.000","0.000, 1.000",0.000873226347475366
"2005","0.000, 1.000","0.000, 1.000","0.000, 1.000",0.000595231838678427
"2006","2.000, 0.971","2.000, 0.971","2.000, 0.971",0.000376599051873391
"2007","3.000, 0.985","0.000, 1.000","0.000, 1.000",0.000743048091472248
"2008","0.000, 1.000","0.000, 1.000","0.000, 1.000",0.00233332459568451
"2009","1.000, 0.877","0.000, 1.000","0.000, 1.000",0.00208749351028044
"2010","0.000, 1.000","0.000, 1.000","0.000, 1.000",0.00133842229066416
"2011","0.000, 1.000","0.000, 1.000","0.000, 1.000",0.00157525622606093
"2012","0.000, 1.000","0.000, 1.000","0.000, 1.000",0.000713921859541952
"2013","1.000, 0.958","0.000, 1.000","0.000, 1.000",0.000794314854212112
"2014","0.000, 1.000","0.000, 1.000","0.000, 1.000",0.000476687845062588
"2015","0.000, 1.000","0.000, 1.000","0.000, 1.000",0.000850165680376671
"2016","0.000, 1.000","0.000, 1.000","0.000, 1.000",0.000588871095696525
"2017","0.000, 1.000","0.000, 1.000","0.000, 1.000",0.000375033450965717
"2018","0.000, 1.000","0.000, 1.000","0.000, 1.000",0.000333973088535948
"2019","0.000, 1.000","0.000, 1.000","0.000, 1.000",0.000499492632993443
"2020","7.000, 0.539","4.000, 0.662","1.000, 0.842",0.00109724118291396
"2021","1.000, 0.967","0.000, 1.000","0.000, 1.000",0.000564709284408403
"2022","0.000, 1.000","0.000, 1.000","0.000, 1.000",0.00157038123990709
